time	name	mols_cen	mols_sur	mols_outer	insize	outsize	a	b	c	molincell	Reorg(eV)
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	0	2	0	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	0	2	0	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	0	2	1	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	0	2	1	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	0	2	2	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	0	2	2	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	0	0	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	0	0	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	0	1	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	0	1	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	0	2	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	0	2	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	1	0	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	1	0	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	1	1	0	0.0
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	1	1	1	-1.17063676111
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	1	2	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	1	2	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	2	0	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	2	0	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	2	1	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	2	1	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	2	2	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	1	2	2	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	0	0	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	0	0	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	0	1	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	0	1	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	0	2	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	0	2	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	1	0	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	1	0	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	1	1	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	1	1	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	1	2	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	1	2	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	2	0	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	2	0	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	2	1	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	2	1	1	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	2	2	0	[]
Sat, 19 Apr 2014 10:15:32 +0000	Pc_anion_neut_inner0_outer1	['Pc_mola_anion_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['Pc_mola_neut_aniso_cifstruct_chelpg.xyz', 'Pc_molb_neut_aniso_cifstruct_chelpg.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	0	1	2	2	2	1	[]
