time	name	mols_cen	mols_sur	mols_outer	insize	outsize	a	b	c	molincell	Reorg(eV)
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	0	1	2	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	0	2	0	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	0	2	0	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	0	2	1	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	0	2	1	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	0	2	2	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	0	2	2	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	0	0	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	0	0	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	0	1	0	0.0892474039175
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	0	1	1	0.0519334337503
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	0	2	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	0	2	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	1	0	0	0.118013197951
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	1	0	1	0.119010941244
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	1	1	0	0.0
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	1	1	1	0.0269271194287
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	1	2	0	0.119869404939
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	1	2	1	0.118022788397
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	2	0	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	2	0	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	2	1	0	0.0654186365752
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	2	1	1	0.0975064628534
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	2	2	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	1	2	2	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	0	0	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	0	0	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	0	1	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	0	1	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	0	2	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	0	2	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	1	0	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	1	0	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	1	1	0	0.0469589298513
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	1	1	1	0.0844559760548
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	1	2	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	1	2	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	2	0	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	2	0	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	2	1	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	2	1	1	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	2	2	0	[]
Mon, 11 May 2015 10:23:37 +0000	C8_BTBT_cation_neut_inner1_outer0	['C8_BTBT_mola_cation_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['C8_BTBT_mola_neut_aniso_cifstruct_mul.xyz', 'C8_BTBT_molb_neut_aniso_cifstruct_mul.xyz']	['sp_C8_BTBT_mola_neut.xyz', 'sp_C8_BTBT_molb_neut.xyz']	1	0	2	2	2	1	[]
