c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	0.642432083972	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	0.595038126821	0.492102673332	0.39525989251	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	0.690954454856	0.664643033227	0.737627544289	0.794580513265	0.799530950084	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.617112706331	0.533303298815	0.451510867004	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	0.659745808476	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
