a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	0.668717066321	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	0.678877140783	0.62507514855	0.674739833524	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	0.708401792036	0.625405878666	0.606476611175	0.61833140042	0.714738561931	[]	[]	[]	[]
6	0	[]	[]	[]	0.777687727215	0.653244002771	0.570952137135	0.659066644517	0.556277407003	0.664979623353	0.781246025136	[]	[]	[]
7	0	[]	[]	[]	[]	0.593106095863	0.508309790268	0.722489765846	0.477834416076	0.608625932241	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.448770710178	0.772955060984	0.411985279163	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	0.794052307757	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
