b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	0.781246025136	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	0.687604049191	0.712652886723	0.745406423424	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	0.671579207112	0.682878398399	0.694194346485	0.70526572745	0.727353920936	[]	[]	[]	[]
6	0	[]	[]	[]	0.728057428535	0.693731054084	0.690470352237	0.689870405215	0.687334232953	0.688102592059	0.721206391319	[]	[]	[]
7	0	[]	[]	[]	[]	0.73174721964	0.706527187546	0.692262251588	0.67814619398	0.664848271429	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.745469446977	0.709369132729	0.681914209268	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	0.777687727215	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
