a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	-0.168789920027	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.375719842916	-0.142798498663	0.336098606409	[]	[]	[]	[]
3	0	[]	[]	[]	0.603764308796	0.399999399162	0.00443229659287	0.359433760581	0.592809114841	[]	[]	[]
4	0	[]	[]	0.678492783713	0.611529832555	0.458854447002	0.163035098832	0.42509511543	0.602608714141	0.67333130635	[]	[]
5	0	[]	0.789344951354	0.68500352993	0.62039262159	0.511581730195	0.205223070946	0.497239731413	0.616739611845	0.683088664411	0.789709788599	[]
6	0	[]	[]	0.711124050415	0.631158319903	0.535665704288	0.32000840239	0.547962997292	0.633826876328	0.712953401271	[]	[]
7	0	[]	[]	[]	0.655995659854	0.548590936731	0.424546777128	0.574846673099	0.663054106126	[]	[]	[]
8	0	[]	[]	[]	[]	0.578906204096	0.428796947103	0.60517914908	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.432673108629	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
