

=============================================================

 C8_BTBT/C8_BTBT_cation_neut_inner6_outer0/ReorgPlanes_shareq/C8_BTBT_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_a.datc\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	1.87244679175	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	1.8863911958	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	2.47667000997	1.81615805989	1.9993188455	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	1.96124810303	1.85255184285	2.46183764702	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.65784782469	2.23415182445	1.88937499939	1.93039392287	2.0379106993	[]	[]	[]	[]
2	1	[]	[]	[]	[]	2.01893237234	1.69020131385	1.85664765202	3.07534554203	2.90934864559	[]	[]	[]	[]
3	0	[]	[]	[]	2.32498634028	1.67278785681	1.21190245998	1.67661856535	1.47628833594	1.25364533075	2.05691016541	[]	[]	[]
3	1	[]	[]	[]	2.05193048638	1.78528716823	1.24533049227	1.61443991765	0.732784323903	1.74684678971	2.10998279388	[]	[]	[]
4	0	[]	[]	2.28132475103	2.12890739179	1.19374362055	1.43321290581	1.49204111766	-0.249529250603	0.160622590334	1.93928250129	2.09154018156	[]	[]
4	1	[]	[]	2.0342005381	1.84944701642	1.15151235202	0.413912029785	1.5892279512	1.03541348198	0.239306039254	2.01880431173	1.50189545525	[]	[]
5	0	[]	2.38580706969	2.16181996211	1.76255825725	1.85065505278	1.66798690055	1.5821570987	1.19919293123	2.00018411704	2.00118726092	1.73563386257	1.92843106896	[]
5	1	[]	2.1597628721	1.9056515576	1.83869176189	2.29163131692	1.48186081847	1.50838601189	1.49376210205	1.95572976864	1.76898122001	1.82827166053	2.32551698908	[]
6	0	2.42592583775	2.18346353353	1.6948220148	1.67944152961	1.42901699486	0.858640975664	0.0	0.811915776904	1.68772514939	1.85722192799	1.67723605655	1.9459417621	1.90190330582
6	1	1.98741250799	1.89388763543	1.72769409284	1.70412808556	1.23624442846	0.428301831385	0.478867401536	1.31150467268	1.47174909968	1.76549854527	1.7417062142	1.94329868528	2.60245603901
7	0	[]	2.3892896405	2.20073280145	1.76119584625	1.78156013753	1.62594516636	1.53604805405	1.24954787002	2.08502723011	2.03178462388	1.74783472695	1.91175390778	[]
7	1	[]	2.18346458235	1.89470312293	1.80208951496	2.15555422004	1.42351528755	1.51999855465	1.51456014985	1.99407660986	1.77274716911	1.79441385356	2.31852063076	[]
8	0	[]	[]	2.29399487385	2.11930858192	1.23040173411	1.46351568535	1.49689111071	-0.0873986163042	0.307235935107	1.94596864727	2.09351552634	[]	[]
8	1	[]	[]	2.02826604269	1.83916149185	1.18595868111	0.495699960107	1.60225461276	1.09719804662	0.376134051662	2.01519496703	1.5673352066	[]	[]
9	0	[]	[]	[]	2.32512174545	1.673292392	1.21667400305	1.67560980163	1.47463133343	1.25590809469	2.05331905769	[]	[]	[]
9	1	[]	[]	[]	2.05132802375	1.78547982048	1.25124673061	1.61268500677	0.738812116358	1.74404355633	2.11613948443	[]	[]	[]
10	0	[]	[]	[]	[]	2.65579333448	2.23488387202	1.88876902117	1.93056356192	2.03884499719	[]	[]	[]	[]
10	1	[]	[]	[]	[]	2.01770330606	1.69012814882	1.85591146522	3.07715924695	2.90913916202	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	2.47584217357	1.81523714954	1.998653701	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	1.96032350923	1.85187813546	2.46139533317	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	1.87214573174	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	1.88602175808	[]	[]	[]	[]	[]	[]

=============================================================

 C8_BTBT/C8_BTBT_cation_neut_inner6_outer0/ReorgPlanes_shareq/C8_BTBT_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_b.data\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	2.72343849613	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	2.02437877688	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	2.5635922118	2.18464229015	2.57788301777	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	2.14963710338	1.95309149956	2.14992155728	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.45130806109	2.02170295517	1.79281457952	2.0446487725	1.59299734003	[]	[]	[]	[]
2	1	[]	[]	[]	[]	2.21501049665	1.84471746476	1.68477367423	1.8646470037	2.22234462109	[]	[]	[]	[]
3	0	[]	[]	[]	2.50561633541	1.919553638	1.80332034829	1.42635390444	1.81618610826	1.95301967596	2.50863636886	[]	[]	[]
3	1	[]	[]	[]	2.00081384032	1.82906820485	1.61603808593	1.43937087518	1.64745641774	1.8300418013	2.00119476214	[]	[]	[]
4	0	[]	[]	3.61007751239	1.94798520228	1.30560969799	1.63171460641	1.13364318744	1.64468453384	1.33780803796	1.95128359582	3.60883392648	[]	[]
4	1	[]	[]	2.30875567855	1.83517420223	1.11776663069	1.2239592583	0.982767798036	1.26444324861	1.17203101387	1.83507501135	2.30851687352	[]	[]
5	0	[]	1.66999281405	1.99720142703	1.8856919944	1.57611254874	1.47588867012	0.594377291142	1.49161881194	1.58480446715	1.89109989263	1.99671722868	1.66937112164	[]
5	1	[]	1.89316871551	1.84715867268	1.60161299438	0.265482019343	1.24217949129	0.556394872048	1.30354610806	0.374135187773	1.60131403035	1.84647660388	1.89242547096	[]
6	0	1.87244679175	1.81615805989	1.88937499939	1.67661856535	1.49204111766	1.5821570987	0.0	1.53604805405	1.49689111071	1.67560980163	1.88876902117	1.81523714954	1.87214573174
6	1	1.8863911958	1.85255184285	1.85664765202	1.61443991765	1.5892279512	1.50838601189	0.478867401536	1.51999855465	1.60225461276	1.61268500677	1.85591146522	1.85187813546	1.88602175808
7	0	[]	1.85503374255	1.83172675824	1.75259876664	0.464863680385	1.52119717708	0.437904014277	1.45567684425	0.539844312118	1.75253960437	1.83101989016	1.85421162154	[]
7	1	[]	1.67494069728	2.34987235673	1.72234082337	1.46033662684	1.47277526593	0.963879764155	1.44689762204	1.47277933802	1.72023678447	2.34956950832	1.67444975866	[]
8	0	[]	[]	2.24337213702	1.7850214498	1.23669314684	1.66859592894	0.930093413647	1.58969464267	1.26414126923	1.78324226322	2.24163664068	[]	[]
8	1	[]	[]	3.0330319808	1.94454526365	1.10957748281	1.62044454931	1.25695648026	1.58059953132	1.14329669755	1.94292480065	3.03120685468	[]	[]
9	0	[]	[]	[]	1.85794716476	1.74043404859	1.93344628017	1.23557942834	1.85616484282	1.7419966908	1.85653569904	[]	[]	[]
